LOBOVIZ Plot Page Station(s) L01SURF.TXT; Variable(s) NITRATE;WATERDEPTH[M];SALINITY;TEMPERATURE[°C];SENSORDEPTH;OXYGEN[µM];CDOM[MG/M3];CHLOROPHYLL[µG/L];TURBIDITY[NTU];PH_TOTAL_INSITUT;PH_TOTAL_20C;ALONGCHANNELVELOCITY[M/S];ACROSSCHANNELVELOCITY[M/S]
L01SURF.TXT
Date&TimeGMT, Days since 1/1/1900 00:00Z ,NITRATE[µM] ,WATERDEPTH[M] ,SALINITY ,TEMPERATURE[°C] ,SENSORDEPTH[M] ,OXYGEN[µM] ,CHLOROPHYLL[µG/L] ,TURBIDITY[NTU] ,CDOM[MG/M3] ,ALONGCHANNELVELOCITY[M/S] ,ACROSSCHANNELVELOCITY[M/S] ,PH_TOTAL_INSITUT ,PH_TOTAL_20C
01/01/2007 00:28, 39083.01983, 21.47, 7.94, 31.5648, 11.2281, -.6, 235.7, 2.49, 1.79E+308, 1.79E+308, 1.79E+308, 1.79E+308, 1.79E+308, 1.79E+308
01/01/2007 01:28, 39083.06149, 22.87, 8.19, 32.4804, 11.1543, -.6, 217.2, 1.95, 1.79E+308, 1.79E+308, 1.79E+308, 1.79E+308, 1.79E+308, 1.79E+308
01/01/2007 02:28, 39083.10316, 18.16, 8.52, 32.9876, 11.9049, -.6, 256.2, 2.61, 1.79E+308, 1.79E+308, 1.79E+308, 1.79E+308, 1.79E+308, 1.79E+308
01/01/2007 03:28, 39083.14483, 12.34, 8.77, 33.1646, 12.0487, -.6, 260.6, 2.36, 1.79E+308, 1.79E+308, 1.79E+308, 1.79E+308, 1.79E+308, 1.79E+308
01/01/2007 04:28, 39083.18649, 10.64, 8.99, 33.2065, 12.0303, -.6, 259.6, 2.63, 1.79E+308, 1.79E+308, 1.79E+308, 1.79E+308, 1.79E+308, 1.79E+308
01/01/2007 05:28, 39083.22816, 11.82, 9.07, 33.2525, 11.8343, -.6, 235, 2.6, 1.79E+308, 1.79E+308, 1.79E+308, 1.79E+308, 1.79E+308, 1.79E+308
01/01/2007 06:28, 39083.26983, 11.4, 9.03, 33.2476, 11.8078, -.6, 232.8, 1.41, 1.79E+308, 1.79E+308, 1.79E+308, 1.79E+308, 1.79E+308, 1.79E+308
01/01/2007 07:28, 39083.31149, 11.3, 8.94, 33.2067, 11.8539, -.6, 249.5, .66, 1.79E+308, 1.79E+308, 1.79E+308, 1.79E+308, 1.79E+308, 1.79E+308
01/01/2007 08:28, 39083.35316, 11.48, 8.85, 33.1566, 11.8054, -.6, 248.3, .63, 1.79E+308, 1.79E+308, 1.79E+308, 1.79E+308, 1.79E+308, 1.79E+308
01/01/2007 09:28, 39083.39483, 11.33, 8.82, 33.1576, 11.7958, -.6, 238.3, .68, 1.79E+308, 1.79E+308, 1.79E+308, 1.79E+308, 1.79E+308, 1.79E+308
